date,eth_price,eth_amount,lido_amount
2021-08-29 00:00,3246.03,57088,51200
2021-08-30 00:00,3231.6,11968,0
2021-08-31 00:00,3225.63,10144,0
2021-09-01 00:00,3420.27,22816,0
2021-09-02 00:00,3834.28,78976,51200
2021-09-03 00:00,3825.17,21248,12800
2021-09-04 00:00,3930.02,6272,0
2021-09-05 00:00,3895.82,66752,57600
2021-09-06 00:00,3931.47,15040,6400
2021-09-07 00:00,3930.83,21600,0
2021-09-08 00:00,3408.81,19488,0
2021-09-09 00:00,3496.08,16128,0
2021-09-10 00:00,3448.4,23360,12800
2021-09-11 00:00,3224.28,66592,59520
2021-09-12 00:00,3266.75,5568,0
2021-09-13 00:00,3407.39,4992,0
2021-09-14 00:00,3289.19,14944,9600
2021-09-15 00:00,3419.6,9568,0
2021-09-16 00:00,3602.17,8832,0
2021-09-17 00:00,3563.75,6432,0
2021-09-18 00:00,3401.81,35584,27936
2021-09-19 00:00,3433.94,4736,0
2021-09-20 00:00,3324.38,5824,0
2021-09-21 00:00,2971.88,9920,0
2021-09-22 00:00,2768.74,13472,0
2021-09-23 00:00,3069.66,8576,0
2021-09-24 00:00,3134.59,5632,0
2021-09-25 00:00,2926.66,7392,0
2021-09-26 00:00,2930.05,4480,0
2021-09-27 00:00,3043.92,2752,0
2021-09-28 00:00,2946.19,19552,14400
2021-09-29 00:00,2787.23,6560,0
2021-09-30 00:00,2851.89,6592,0
2021-10-01 00:00,3010.13,4224,0
2021-10-02 00:00,3324.94,4160,0
2021-10-03 00:00,3379.3,8992,0
2021-10-04 00:00,3411.74,5152,0
2021-10-05 00:00,3373.15,56480,50976
2021-10-06 00:00,3524.24,5856,0
2021-10-07 00:00,3577.3,9952,0
2021-10-08 00:00,3593.14,4864,0
2021-10-09 00:00,3565.31,4800,0
2021-10-10 00:00,3587.54,4480,0
2021-10-11 00:00,3426.86,5216,0
2021-10-12 00:00,3525.21,4000,0
2021-10-13 00:00,3497.35,4416,0
2021-10-14 00:00,3599.73,6112,0
